channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UCWRgyZ7sllnMwli-9IeouTQ,Crunchyroll-Hime Ch.,Crunchyroll-Hime Ch.,Independents,,118000,110,https://yt3.ggpht.com/BzBLoZM0iHOtAcMC8pfMax4mBp7U3oEBjIJd-pyrBuCDQAUMAAQI2Cjp4K3ZcC7pjx-Qq_WeoRg=s800-c-k-c0x00ffffff-no-rj
UCwRKt_raV3N5KZgxcFyC1vw,燦鳥ノム - SUNTORY NOMU -,Suntory Nomu,Independents,,167000,213,https://yt3.ggpht.com/ytc/AMLnZu9VZvg6RAMiHrKieSRVqIMOHqDXJdhWdTJluco0vw=s800-c-k-c0x00ffffff-no-rj
UCwUNuXd6rN08SQFzlIH4Ozg,なつめえりちゃんねる / Natsume Eri ch.,Natsume Eri,Independents,,59700,505,https://yt3.ggpht.com/ytc/AMLnZu8xQ-CyFi8ca0dGfz6jRfwPw39Yj5CqmJ7jvhd6=s800-c-k-c0x00ffffff-no-rj
UCwuS0uY-Z2Gr_5OV2oFybFA,KMNZ LITA,KMNZ LITA,Independents,,120000,82,https://yt3.ggpht.com/ytc/AMLnZu8h145Wy_pv3g611Hrc3EKSqykcaDgVCxeOSujF=s800-c-k-c0x00ffffff-no-rj
UCWVDs55mszxLotyOAlZXtBA,Emberlith,Emberlith,Twitch Independents,,102000,395,https://yt3.ggpht.com/wyVEdwHFrcbjaTG4Vsum6l_V9kgj_LrD2_HnhpsWFFSsiPS9_gExxcs1Ow5fnTWk_l3wDjUxPKM=s800-c-k-c0x00ffffff-no-rj
UCwvycbDmTqmtVTkl9eUp0cA,Ito Channel-奏星イト-,Kanase Ito,Sleep Monster,,111000,92,https://yt3.ggpht.com/ytc/AMLnZu-LWNeeMA7NAVSxA3MWXNZla3Dx-nNB76324ysm=s800-c-k-c0x00ffffff-no-rj
UCwXfrtn26oj7JW9fwB_z1bw,咲乃もこ【SakinoMoco】,Sakino Moko,Independents,,45100,547,https://yt3.ggpht.com/ytc/AMLnZu_YO-5W7HZ0-bO3pCJodv_dba5KaX9J7s8sIvXOSA=s800-c-k-c0x00ffffff-no-rj
UCwXOUuxUxCJ1yD0JfogUvMg,ユキミお姉ちゃんねる-Yukimi,Anezaki Yukimi,Independents,,41100,1544,https://yt3.ggpht.com/ytc/AMLnZu_AmMP30N3iGGO9ppVP6qcqEb5e3A07K9B2deL5Wg=s800-c-k-c0x00ffffff-no-rj
UCwY13RnqWK4FNFeHGrK96Gw,-ETORA-,Eto Etora,V Dimension.Creators,,833,5,https://yt3.ggpht.com/TJETACsPz3ea2zHAGFa5nzdoaXlLxHQjtOT_XekZL-tATXyYJGS-4qSc_GTKc2F2PMR3pUAJRwQ=s800-c-k-c0x00ffffff-no-rj
UCwyzBrOA3sfi3RZjYj0x8gQ,沢野ぽぷら,Sawano Poplar,Independents,,28400,285,https://yt3.ggpht.com/wJOFclRwUyfJjkxvzK9NK6BCEeishxRJyYF_kSXjfv4fZ6xevobawobA5-g8zHV_OUilIblUqw=s800-c-k-c0x00ffffff-no-rj
UCx0uRc5HF-rFDEQ7lmNYKEw,VALIS,VALIS,KAMITSUBAKI,,124000,181,https://yt3.ggpht.com/qd_dB2VSe4Y0GL3EnMFL_nS0rOIxzDZOc9CPFiDUpgfTZjnK01_aImIFj6U5Lqk79RtNqZ-JDg=s800-c-k-c0x00ffffff-no-rj
UCX3kDHyJjblueix0gAQ6aJA,Yachi CH.氷置八茅,Hioki Yachi,Hoshimeguri Gakuen,,61300,11,https://yt3.ggpht.com/ytc/AKedOLQgSPFq9ZSvJtLJyl78ICZUnO6Z3MNziSFkg-7L=s800-c-k-c0x00ffffff-no-rj
UCx45gypxj0fME6zxsLKsNow,焔機パイロ【ほむらぎパイロ】,Homuragi Pairo,Independents,,3750,284,https://yt3.ggpht.com/ytc/AMLnZu_AHsl78fCsDNYy2SKcfRgOopfVoDs1QrsZE-vt8g=s800-c-k-c0x00ffffff-no-rj
UCx7GU8C3cr7vqp_SbS-8P-w,ReLive_灰妲 DaDa,ReLive_灰妲 DaDa,Independents,,24400,442,https://yt3.ggpht.com/3Q5KIBqUDdSzGslNKW-3p7WYeH-5rK51CZhWq9GmOoyeUZWELiSKZEXYZh2SbwE7Wn-vIqi34RQ=s800-c-k-c0x00ffffff-no-rj
